fight_stat_id,fight_id,fighter_id,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time,fight_url
7709,3855,2816.0,0,13,7,11,5,1.0,0.0,0,0,,http://ufcstats.com/fight-details/8eaa23d64c20b0f1
7708,3854,3337.0,0,94,38,80,24,0.0,0.0,1,0,,http://ufcstats.com/fight-details/1b52e24d09700dd9
7707,3854,78.0,0,41,18,41,18,2.0,1.0,0,0,,http://ufcstats.com/fight-details/1b52e24d09700dd9
7706,3853,1070.0,0,170,72,136,48,1.0,1.0,1,0,,http://ufcstats.com/fight-details/7fce3efc5d2add6e
7705,3853,3157.0,0,68,36,47,17,4.0,2.0,0,0,,http://ufcstats.com/fight-details/7fce3efc5d2add6e
7704,3852,2374.0,0,171,127,80,49,15.0,11.0,0,0,,http://ufcstats.com/fight-details/a337e11f80a75b7d
7703,3852,2542.0,0,134,59,128,53,0.0,0.0,0,0,,http://ufcstats.com/fight-details/a337e11f80a75b7d
7702,3851,191.0,0,15,2,14,2,0.0,0.0,0,0,,http://ufcstats.com/fight-details/bd6909a463a1de2b
7701,3851,1093.0,3,22,12,22,12,0.0,0.0,0,0,,http://ufcstats.com/fight-details/bd6909a463a1de2b
7700,3850,4007.0,0,46,12,41,9,3.0,0.0,0,0,,http://ufcstats.com/fight-details/1d7015553debd1c8
7699,3850,1768.0,3,93,40,84,32,0.0,0.0,0,0,,http://ufcstats.com/fight-details/1d7015553debd1c8
7698,3849,2396.0,0,371,181,360,171,1.0,1.0,0,0,,http://ufcstats.com/fight-details/4403857f545ede75
7697,3849,2171.0,0,234,63,220,50,1.0,0.0,0,0,,http://ufcstats.com/fight-details/4403857f545ede75
7696,3848,164.0,0,54,16,47,12,8.0,1.0,0,0,,http://ufcstats.com/fight-details/f37d18b5c35145bf
7695,3848,960.0,1,51,27,40,18,3.0,2.0,0,0,,http://ufcstats.com/fight-details/f37d18b5c35145bf
7694,3847,442.0,0,93,48,65,21,5.0,1.0,0,0,,http://ufcstats.com/fight-details/9ebfd601c43b89b3
7693,3847,1263.0,0,156,111,77,43,1.0,1.0,3,0,,http://ufcstats.com/fight-details/9ebfd601c43b89b3
7692,3846,3122.0,0,81,45,76,40,14.0,5.0,2,1,,http://ufcstats.com/fight-details/9c4cbd0546d03f6b
7691,3846,542.0,1,154,41,146,33,0.0,0.0,1,0,,http://ufcstats.com/fight-details/9c4cbd0546d03f6b
7690,3845,1436.0,0,190,140,142,94,6.0,2.0,1,0,,http://ufcstats.com/fight-details/c26806c2d554e50c
7689,3845,2364.0,0,78,20,77,19,0.0,0.0,1,0,,http://ufcstats.com/fight-details/c26806c2d554e50c
7688,3844,1512.0,0,18,5,18,5,1.0,0.0,0,0,,http://ufcstats.com/fight-details/8172d8d996335d0a
7687,3844,3742.0,1,25,14,25,14,0.0,0.0,0,0,,http://ufcstats.com/fight-details/8172d8d996335d0a
7686,3843,1953.0,1,21,9,21,9,0.0,0.0,0,0,,http://ufcstats.com/fight-details/14477908199435e1
7685,3843,1577.0,0,10,3,10,3,0.0,0.0,0,0,,http://ufcstats.com/fight-details/14477908199435e1
7684,3842,1693.0,0,105,45,85,28,5.0,4.0,1,0,,http://ufcstats.com/fight-details/ef80a6eea892c296
7683,3842,4004.0,0,127,50,112,36,0.0,0.0,0,0,,http://ufcstats.com/fight-details/ef80a6eea892c296
7682,3841,3541.0,0,88,49,64,27,7.0,4.0,0,0,,http://ufcstats.com/fight-details/706228ddb6076b3f
7681,3841,3467.0,1,160,64,115,22,0.0,0.0,0,0,,http://ufcstats.com/fight-details/706228ddb6076b3f
7680,3840,3185.0,0,281,126,276,121,5.0,0.0,0,0,,http://ufcstats.com/fight-details/9220acccebf14a46
7679,3840,3017.0,0,402,200,401,199,2.0,0.0,0,0,,http://ufcstats.com/fight-details/9220acccebf14a46
7678,3839,870.0,0,108,69,81,46,1.0,0.0,0,0,,http://ufcstats.com/fight-details/c5a8e0098d1024ce
7677,3839,2599.0,0,112,57,82,30,2.0,0.0,1,0,,http://ufcstats.com/fight-details/c5a8e0098d1024ce
7676,3838,2124.0,0,22,13,20,11,1.0,1.0,1,1,,http://ufcstats.com/fight-details/e322eae035f7c00f
7675,3838,1401.0,0,42,36,18,13,2.0,2.0,2,0,,http://ufcstats.com/fight-details/e322eae035f7c00f
7674,3837,3686.0,1,129,64,121,56,0.0,0.0,0,0,,http://ufcstats.com/fight-details/43a941e005a2d463
7673,3837,1152.0,0,68,29,68,29,6.0,1.0,0,0,,http://ufcstats.com/fight-details/43a941e005a2d463
7672,3836,3296.0,0,134,73,120,60,5.0,0.0,0,0,,http://ufcstats.com/fight-details/00494c77d2a88f8c
7671,3836,1912.0,0,129,79,78,41,2.0,1.0,0,0,,http://ufcstats.com/fight-details/00494c77d2a88f8c
7670,3835,2735.0,0,200,120,134,65,2.0,1.0,0,0,,http://ufcstats.com/fight-details/52943c821416dc38
7669,3835,3449.0,0,127,74,87,40,4.0,0.0,0,0,,http://ufcstats.com/fight-details/52943c821416dc38
7668,3834,1251.0,0,177,103,96,36,5.0,3.0,0,1,,http://ufcstats.com/fight-details/51010081d59b4687
7667,3834,3952.0,0,76,42,68,34,0.0,0.0,2,1,,http://ufcstats.com/fight-details/51010081d59b4687
7666,3833,3808.0,0,9,3,8,3,0.0,0.0,0,0,,http://ufcstats.com/fight-details/588a39cab19065bc
7665,3833,592.0,0,2,2,2,2,1.0,1.0,1,0,,http://ufcstats.com/fight-details/588a39cab19065bc
7664,3832,1631.0,0,7,3,7,3,0.0,0.0,0,0,,http://ufcstats.com/fight-details/23c6a428df1569bc
7663,3832,2721.0,0,30,15,30,15,0.0,0.0,0,0,,http://ufcstats.com/fight-details/23c6a428df1569bc
7662,3831,3673.0,0,146,69,144,67,1.0,0.0,0,0,,http://ufcstats.com/fight-details/29df50b2ea446361
7661,3831,672.0,1,158,72,158,72,1.0,1.0,0,0,,http://ufcstats.com/fight-details/29df50b2ea446361
7660,3830,3999.0,0,140,65,138,63,2.0,0.0,0,0,,http://ufcstats.com/fight-details/2c39797c6574ff29
7659,3830,1481.0,0,182,82,182,82,0.0,0.0,0,0,,http://ufcstats.com/fight-details/2c39797c6574ff29
7658,3829,1066.0,0,183,67,166,50,0.0,0.0,0,0,,http://ufcstats.com/fight-details/c1e039419a671b9e
7657,3829,1445.0,0,151,51,126,29,3.0,1.0,0,0,,http://ufcstats.com/fight-details/c1e039419a671b9e
7656,3828,3839.0,0,231,129,127,72,12.0,7.0,0,0,,http://ufcstats.com/fight-details/4fa26e1e88583ab5
7655,3828,3904.0,0,121,41,105,29,0.0,0.0,0,0,,http://ufcstats.com/fight-details/4fa26e1e88583ab5
7654,3827,3767.0,0,348,130,335,119,0.0,0.0,0,0,,http://ufcstats.com/fight-details/eaa63c8fb9379426
7653,3827,2595.0,2,227,87,220,81,4.0,1.0,0,0,,http://ufcstats.com/fight-details/eaa63c8fb9379426
7652,3826,3813.0,0,27,9,26,8,0.0,0.0,0,0,,http://ufcstats.com/fight-details/ebc7ec239faf7b0b
7651,3826,1584.0,0,124,65,114,57,4.0,1.0,0,0,,http://ufcstats.com/fight-details/ebc7ec239faf7b0b
7650,3825,898.0,0,44,17,38,13,3.0,2.0,0,0,,http://ufcstats.com/fight-details/451d7d8c2a6bacb3
7649,3825,1871.0,1,48,33,47,32,3.0,0.0,1,0,,http://ufcstats.com/fight-details/451d7d8c2a6bacb3
7648,3824,509.0,0,26,12,23,9,4.0,2.0,1,0,,http://ufcstats.com/fight-details/17067cf55726c673
7647,3824,1383.0,0,39,21,30,14,1.0,0.0,0,0,,http://ufcstats.com/fight-details/17067cf55726c673
7646,3823,3816.0,0,27,20,10,4,6.0,4.0,2,0,,http://ufcstats.com/fight-details/23253ebb1d86d8b4
7645,3823,3201.0,0,16,6,15,6,0.0,0.0,0,0,,http://ufcstats.com/fight-details/23253ebb1d86d8b4
7644,3822,1208.0,0,3,1,3,1,0.0,0.0,0,0,,http://ufcstats.com/fight-details/2f9a8807807b80d6
7643,3822,4057.0,1,39,26,39,26,0.0,0.0,2,0,,http://ufcstats.com/fight-details/2f9a8807807b80d6
7642,3821,2737.0,0,93,44,84,36,2.0,2.0,0,0,,http://ufcstats.com/fight-details/3be121d4f5460893
7641,3821,550.0,0,47,18,39,10,9.0,4.0,1,1,,http://ufcstats.com/fight-details/3be121d4f5460893
7640,3820,3117.0,0,89,31,72,16,10.0,3.0,1,0,,http://ufcstats.com/fight-details/47dfd70b5780d68a
7639,3820,337.0,0,86,34,83,32,0.0,0.0,0,0,,http://ufcstats.com/fight-details/47dfd70b5780d68a
7638,3819,897.0,0,59,25,54,21,6.0,2.0,0,0,,http://ufcstats.com/fight-details/8794b5f9a591daf6
7637,3819,3229.0,0,129,61,116,48,1.0,1.0,0,0,,http://ufcstats.com/fight-details/8794b5f9a591daf6
7636,3818,1004.0,0,239,81,239,81,4.0,0.0,0,0,,http://ufcstats.com/fight-details/85bec51d0bdf511f
